epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.00807,1.09078,2.7454,1.48709,0.56633,0.85,0.8784,0.63412,1.65125,1.03165,1.38057,0,0,0
2,1.2603,1.18737,2.79638,1.48877,0.55725,0.85,0.88647,0.63455,1.67181,1.02464,1.38379,1.17822e-06,1.17822e-06,1.17822e-06
3,1.50706,1.09902,2.50974,1.22096,0.56102,0.85,0.85075,0.61539,1.68781,1.01167,1.38933,2.33288e-06,2.33288e-06,2.33288e-06
4,1.71987,1.18898,2.74964,1.49746,0.54584,0.85,0.85608,0.63482,1.67156,0.99183,1.36969,3.46397e-06,3.46397e-06,3.46397e-06
5,1.95889,1.20505,2.44657,1.61831,0.54889,0.85,0.85777,0.63681,1.66816,1.01301,1.36542,4.5715e-06,4.5715e-06,4.5715e-06
6,2.20815,0.83256,1.92702,1.14576,0.54335,0.85903,0.85724,0.62801,1.68116,1.01212,1.3728,5.65548e-06,5.65548e-06,5.65548e-06
7,2.43146,1.40598,2.77424,1.77225,0.53275,0.86277,0.85848,0.62858,1.67687,1.0216,1.37324,6.71588e-06,6.71588e-06,6.71588e-06
8,2.66096,1.19045,3.86115,1.65169,0.56414,0.86667,0.86386,0.63232,1.67681,1.02712,1.36583,7.75273e-06,7.75273e-06,7.75273e-06
9,2.89341,0.90031,2.96273,1.27735,0.55383,0.86667,0.85988,0.63027,1.67316,1.02814,1.36132,8.76602e-06,8.76602e-06,8.76602e-06
10,3.12988,1.04371,2.18184,1.2739,0.53047,0.86667,0.89476,0.64254,1.67038,1.03323,1.3598,9.75574e-06,9.75574e-06,9.75574e-06
11,3.36359,1.19139,2.26895,1.56923,0.62774,0.94492,0.90932,0.64357,1.66895,1.03414,1.35861,1.07219e-05,1.07219e-05,1.07219e-05
12,3.60364,1.00499,2.28377,1.37756,0.63831,0.94396,0.90902,0.64478,1.67601,1.04929,1.36118,1.16645e-05,1.16645e-05,1.16645e-05
13,3.8484,1.36343,3.25064,1.80222,0.61827,0.95,0.90872,0.64726,1.68301,1.05827,1.36409,1.25835e-05,1.25835e-05,1.25835e-05
14,4.09479,0.79161,2.37967,1.20484,0.62573,0.95,0.91033,0.64716,1.69045,1.07272,1.3659,1.3479e-05,1.3479e-05,1.3479e-05
15,4.34305,1.29181,3.04603,1.52925,0.63575,0.78333,0.90943,0.64717,1.69484,1.08052,1.36881,1.43509e-05,1.43509e-05,1.43509e-05
16,4.57554,1.21598,2.077,1.51981,0.64081,0.78333,0.91059,0.63535,1.67597,1.08226,1.3602,1.51993e-05,1.51993e-05,1.51993e-05
17,4.80189,0.81051,1.56152,1.17745,0.86655,0.65,0.87902,0.62339,1.68216,1.09293,1.36434,1.60241e-05,1.60241e-05,1.60241e-05
18,5.01973,0.62356,1.33034,0.99765,0.86655,0.65,0.87902,0.62339,1.68216,1.09293,1.36434,1.68253e-05,1.68253e-05,1.68253e-05
19,5.2515,0.68534,1.53303,1.03273,0.83312,0.65,0.8719,0.62212,1.69495,1.12596,1.37539,1.7603e-05,1.7603e-05,1.7603e-05
20,5.47525,1.15015,1.73577,1.33565,0.83312,0.65,0.8719,0.62212,1.69495,1.12596,1.37539,1.83571e-05,1.83571e-05,1.83571e-05
21,5.71656,0.76023,1.79688,1.17685,0.80592,0.65,0.85417,0.61015,1.69272,1.1688,1.37751,1.90876e-05,1.90876e-05,1.90876e-05
22,5.93385,1.04809,1.70202,1.22637,0.80592,0.65,0.85417,0.61015,1.69272,1.1688,1.37751,1.97946e-05,1.97946e-05,1.97946e-05
23,6.16759,0.97382,1.80149,1.40477,0.79731,0.65,0.85592,0.61086,1.69177,1.19898,1.37847,2.0478e-05,2.0478e-05,2.0478e-05
24,6.39069,0.91468,1.64292,1.22833,0.79731,0.65,0.85592,0.61086,1.69177,1.19898,1.37847,2.11379e-05,2.11379e-05,2.11379e-05
25,6.63273,0.68287,1.9961,1.07345,0.80166,0.65,0.85555,0.59174,1.70047,1.22942,1.38463,2.17741e-05,2.17741e-05,2.17741e-05
26,6.85647,0.85284,1.30335,1.17652,0.80166,0.65,0.85555,0.59174,1.70047,1.22942,1.38463,2.23869e-05,2.23869e-05,2.23869e-05
27,7.08712,0.98702,1.52227,1.42677,0.79799,0.65,0.8557,0.59392,1.70695,1.28318,1.39409,2.2976e-05,2.2976e-05,2.2976e-05
28,7.30506,0.94528,1.21236,1.24082,0.79799,0.65,0.8557,0.59392,1.70695,1.28318,1.39409,2.35417e-05,2.35417e-05,2.35417e-05
29,7.53641,0.94965,1.685,1.29538,0.77967,0.65,0.85541,0.59842,1.69425,1.30174,1.38894,2.40837e-05,2.40837e-05,2.40837e-05
30,7.76905,1.11238,1.28304,1.41817,0.77967,0.65,0.85541,0.59842,1.69425,1.30174,1.38894,2.46022e-05,2.46022e-05,2.46022e-05
31,7.99792,1.0054,1.67473,1.33011,0.76251,0.65,0.85537,0.58046,1.68394,1.34729,1.38591,2.50971e-05,2.50971e-05,2.50971e-05
32,8.223,0.6714,1.49293,1.31062,0.76251,0.65,0.85537,0.58046,1.68394,1.34729,1.38591,2.55685e-05,2.55685e-05,2.55685e-05
33,8.45817,1.07054,1.96756,1.35842,0.77669,0.65,0.86257,0.56579,1.64928,1.38133,1.36907,2.60163e-05,2.60163e-05,2.60163e-05
34,8.6853,1.09834,1.89462,1.47482,0.77669,0.65,0.86257,0.56579,1.64928,1.38133,1.36907,2.64405e-05,2.64405e-05,2.64405e-05
35,8.91568,0.92431,1.2694,1.30936,0.77638,0.65,0.85257,0.56374,1.6201,1.4076,1.35268,2.68412e-05,2.68412e-05,2.68412e-05
36,9.13595,1.04129,1.46934,1.39879,0.77638,0.65,0.85257,0.56374,1.6201,1.4076,1.35268,2.72183e-05,2.72183e-05,2.72183e-05
37,9.3778,0.96033,1.03726,1.34351,0.7196,0.65,0.84942,0.54772,1.6061,1.44379,1.3473,2.75718e-05,2.75718e-05,2.75718e-05
38,9.60033,0.58061,0.85624,0.96247,0.7196,0.65,0.84942,0.54772,1.6061,1.44379,1.3473,2.79018e-05,2.79018e-05,2.79018e-05
39,9.82314,0.71943,0.81294,1.16216,0.68831,0.65,0.85042,0.5322,1.58081,1.47801,1.34166,2.82082e-05,2.82082e-05,2.82082e-05
40,10.0416,0.7731,0.98841,1.1637,0.68831,0.65,0.85042,0.5322,1.58081,1.47801,1.34166,2.84911e-05,2.84911e-05,2.84911e-05
41,10.266,0.75305,1.10968,1.11085,0.67014,0.65,0.8473,0.5246,1.59839,1.53451,1.35302,2.87504e-05,2.87504e-05,2.87504e-05
42,10.4935,0.91934,1.11014,1.19432,0.67014,0.65,0.8473,0.5246,1.59839,1.53451,1.35302,2.89861e-05,2.89861e-05,2.89861e-05
43,10.7287,1.00981,0.96578,1.51374,0.73374,0.65,0.84849,0.52814,1.57674,1.5794,1.34363,2.91983e-05,2.91983e-05,2.91983e-05
44,10.9515,0.70242,0.89701,1.0953,0.73374,0.65,0.84849,0.52814,1.57674,1.5794,1.34363,2.93869e-05,2.93869e-05,2.93869e-05
45,11.1938,0.66895,1.42546,1.09951,0.72515,0.65,0.7099,0.40122,1.58448,1.60991,1.35097,2.9552e-05,2.9552e-05,2.9552e-05
46,11.4261,0.84278,1.032,1.24148,0.72515,0.65,0.7099,0.40122,1.58448,1.60991,1.35097,2.96935e-05,2.96935e-05,2.96935e-05
47,11.6541,0.88725,0.72255,1.26893,0.77484,0.65,0.70475,0.39806,1.59897,1.67513,1.3632,2.98114e-05,2.98114e-05,2.98114e-05
48,11.8775,0.77482,1.0194,1.1405,0.77484,0.65,0.70475,0.39806,1.59897,1.67513,1.3632,2.99058e-05,2.99058e-05,2.99058e-05
49,12.1057,1.02128,1.08684,1.37402,0.81126,0.65,0.70343,0.39808,1.56131,1.68631,1.35493,2.99766e-05,2.99766e-05,2.99766e-05
50,12.3265,0.65993,0.85754,1.09646,0.81126,0.65,0.70343,0.39808,1.56131,1.68631,1.35493,3.00238e-05,3.00238e-05,3.00238e-05
51,12.5556,0.72035,0.90663,1.21711,0.82621,0.64786,0.68285,0.37551,1.58797,1.77917,1.36377,3.00475e-05,3.00475e-05,3.00475e-05
52,12.7935,0.82193,1.65445,1.18116,0.82621,0.64786,0.68285,0.37551,1.58797,1.77917,1.36377,3.00476e-05,3.00476e-05,3.00476e-05
53,13.012,0.60701,1.02373,1.05635,0.82621,0.64786,0.68285,0.37551,1.58797,1.77917,1.36377,3.00242e-05,3.00242e-05,3.00242e-05
54,13.2381,0.72784,0.97102,1.09696,0.73948,0.65,0.68481,0.35942,1.64075,1.86185,1.38551,2.99772e-05,2.99772e-05,2.99772e-05
55,13.4618,0.69083,1.14317,1.17327,0.73948,0.65,0.68481,0.35942,1.64075,1.86185,1.38551,2.99066e-05,2.99066e-05,2.99066e-05
56,13.697,0.6838,0.84313,1.22166,0.73948,0.65,0.68481,0.35942,1.64075,1.86185,1.38551,2.98125e-05,2.98125e-05,2.98125e-05
57,13.9303,0.72328,0.67666,1.20787,0.75361,0.48333,0.6846,0.36186,1.62344,1.8597,1.38138,2.96948e-05,2.96948e-05,2.96948e-05
58,14.1498,0.78491,1.10953,1.206,0.75361,0.48333,0.6846,0.36186,1.62344,1.8597,1.38138,2.95535e-05,2.95535e-05,2.95535e-05
59,14.3674,0.73886,0.74402,1.246,0.75361,0.48333,0.6846,0.36186,1.62344,1.8597,1.38138,2.93887e-05,2.93887e-05,2.93887e-05
60,14.6128,0.77796,1.03859,1.30777,0.8072,0.48333,0.58301,0.27375,1.59583,1.89649,1.38102,2.92003e-05,2.92003e-05,2.92003e-05
61,14.8364,0.58259,0.66327,1.05822,0.8072,0.48333,0.58301,0.27375,1.59583,1.89649,1.38102,2.89884e-05,2.89884e-05,2.89884e-05
62,15.0565,0.75387,1.00238,1.29258,0.8072,0.48333,0.58301,0.27375,1.59583,1.89649,1.38102,2.87529e-05,2.87529e-05,2.87529e-05
63,15.2825,0.6939,0.83913,1.17474,0.79792,0.48333,0.55109,0.26386,1.61822,1.92796,1.3876,2.84938e-05,2.84938e-05,2.84938e-05
64,15.5081,0.78402,0.75828,1.06913,0.79792,0.48333,0.55109,0.26386,1.61822,1.92796,1.3876,2.82112e-05,2.82112e-05,2.82112e-05
65,15.7401,0.62208,0.69067,1.04297,0.79792,0.48333,0.55109,0.26386,1.61822,1.92796,1.3876,2.7905e-05,2.7905e-05,2.7905e-05
66,15.969,0.93288,1.95524,1.32832,0.81011,0.48333,0.54187,0.25407,1.62173,1.97547,1.39077,2.75753e-05,2.75753e-05,2.75753e-05
67,16.2008,0.73524,0.85368,1.15424,0.81011,0.48333,0.54187,0.25407,1.62173,1.97547,1.39077,2.7222e-05,2.7222e-05,2.7222e-05
68,16.4211,0.62711,0.79608,1.04779,0.81011,0.48333,0.54187,0.25407,1.62173,1.97547,1.39077,2.68451e-05,2.68451e-05,2.68451e-05
69,16.6527,0.71822,0.68352,1.27129,0.84205,0.47353,0.53931,0.25912,1.64295,1.98829,1.39716,2.64447e-05,2.64447e-05,2.64447e-05
70,16.8817,1.0463,0.99956,1.45725,0.84205,0.47353,0.53931,0.25912,1.64295,1.98829,1.39716,2.60207e-05,2.60207e-05,2.60207e-05
71,17.1028,0.66397,0.71287,1.15345,0.84205,0.47353,0.53931,0.25912,1.64295,1.98829,1.39716,2.55731e-05,2.55731e-05,2.55731e-05
72,17.3328,0.64075,0.96303,1.16872,0.8491,0.46613,0.53927,0.26345,1.70725,2.04135,1.42127,2.5102e-05,2.5102e-05,2.5102e-05
73,17.5494,0.50927,0.59419,1.0587,0.8491,0.46613,0.53927,0.26345,1.70725,2.04135,1.42127,2.46073e-05,2.46073e-05,2.46073e-05
74,17.7702,1.06509,1.80527,1.47478,0.8491,0.46613,0.53927,0.26345,1.70725,2.04135,1.42127,2.40891e-05,2.40891e-05,2.40891e-05
75,17.9961,0.97543,0.90323,1.26417,0.84715,0.4654,0.54404,0.26522,1.68156,2.05536,1.40292,2.35472e-05,2.35472e-05,2.35472e-05
76,18.2321,1.03189,0.97254,1.37936,0.84715,0.4654,0.54404,0.26522,1.68156,2.05536,1.40292,2.29819e-05,2.29819e-05,2.29819e-05
77,18.4526,0.69575,0.64151,1.05476,0.84715,0.4654,0.54404,0.26522,1.68156,2.05536,1.40292,2.23929e-05,2.23929e-05,2.23929e-05
78,18.6837,0.65174,1.0012,1.1178,0.84941,0.4643,0.51481,0.25712,1.71782,2.08972,1.41711,2.17805e-05,2.17805e-05,2.17805e-05
79,18.905,0.88459,1.36998,1.32676,0.84941,0.4643,0.51481,0.25712,1.71782,2.08972,1.41711,2.11444e-05,2.11444e-05,2.11444e-05
80,19.1269,0.6346,0.59846,1.11811,0.84941,0.4643,0.51481,0.25712,1.71782,2.08972,1.41711,2.04848e-05,2.04848e-05,2.04848e-05
81,19.3659,0.79484,0.80803,1.09839,0.84696,0.46327,0.52021,0.2478,1.65052,2.08925,1.3925,1.98016e-05,1.98016e-05,1.98016e-05
82,19.5895,0.4623,0.45303,0.94264,0.84696,0.46327,0.52021,0.2478,1.65052,2.08925,1.3925,1.90949e-05,1.90949e-05,1.90949e-05
83,19.8092,0.67379,0.75662,1.0339,0.84696,0.46327,0.52021,0.2478,1.65052,2.08925,1.3925,1.83646e-05,1.83646e-05,1.83646e-05
84,20.0416,0.79392,1.36784,1.24459,0.84121,0.46359,0.518,0.24685,1.6892,2.12535,1.41007,1.76107e-05,1.76107e-05,1.76107e-05
85,20.2806,0.64466,0.78153,1.18671,0.84121,0.46359,0.518,0.24685,1.6892,2.12535,1.41007,1.68333e-05,1.68333e-05,1.68333e-05
86,20.4968,0.6687,0.85496,1.16824,0.84121,0.46359,0.518,0.24685,1.6892,2.12535,1.41007,1.60323e-05,1.60323e-05,1.60323e-05
87,20.7161,0.62741,0.66953,1.14218,0.84121,0.46359,0.518,0.24685,1.6892,2.12535,1.41007,1.52077e-05,1.52077e-05,1.52077e-05
88,20.9477,0.75574,0.98995,1.13536,0.79684,0.45,0.51886,0.24565,1.69324,2.15497,1.41606,1.43596e-05,1.43596e-05,1.43596e-05
89,21.1706,0.65519,0.69637,1.15317,0.79684,0.45,0.51886,0.24565,1.69324,2.15497,1.41606,1.34879e-05,1.34879e-05,1.34879e-05
90,21.4019,0.82275,0.71775,1.10438,0.79684,0.45,0.51886,0.24565,1.69324,2.15497,1.41606,1.25927e-05,1.25927e-05,1.25927e-05
91,21.8032,0.56181,0.49284,1.04568,0.79684,0.45,0.51886,0.24565,1.69324,2.15497,1.41606,1.16739e-05,1.16739e-05,1.16739e-05
92,22.0912,0.45903,0.48256,0.85239,0.84051,0.46405,0.51831,0.24895,1.66543,2.16629,1.41395,1.07315e-05,1.07315e-05,1.07315e-05
93,22.35,0.46574,0.488,0.95064,0.84051,0.46405,0.51831,0.24895,1.66543,2.16629,1.41395,9.76562e-06,9.76562e-06,9.76562e-06
94,22.5843,0.60659,0.61131,1.11635,0.84051,0.46405,0.51831,0.24895,1.66543,2.16629,1.41395,8.77613e-06,8.77613e-06,8.77613e-06
95,22.8153,0.55119,0.65284,1.05421,0.84051,0.46405,0.51831,0.24895,1.66543,2.16629,1.41395,7.76308e-06,7.76308e-06,7.76308e-06
96,23.0439,0.81715,0.73629,1.19415,0.85524,0.46257,0.5186,0.24299,1.67149,2.05583,1.40354,6.72648e-06,6.72648e-06,6.72648e-06
97,23.2635,0.52285,0.44446,0.898,0.85524,0.46257,0.5186,0.24299,1.67149,2.05583,1.40354,5.6663e-06,5.6663e-06,5.6663e-06
98,23.4925,0.5092,0.59493,0.98028,0.85524,0.46257,0.5186,0.24299,1.67149,2.05583,1.40354,4.58257e-06,4.58257e-06,4.58257e-06
99,23.7113,0.51728,0.52945,0.97245,0.85524,0.46257,0.5186,0.24299,1.67149,2.05583,1.40354,3.47528e-06,3.47528e-06,3.47528e-06
100,23.9448,0.45261,0.42928,0.93643,0.86388,0.44933,0.53186,0.28528,1.6963,1.96792,1.41272,2.34442e-06,2.34442e-06,2.34442e-06
