epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2256,1.32678,2.7391,1.46725,0.46307,0.38256,0.33678,0.19498,1.59801,2.46029,1.7766,0.000331019,0.000331019,0.000331019
2,33.9686,1.30418,1.81374,1.4339,0.47672,0.39424,0.41828,0.24812,1.41041,1.90017,1.55168,0.000657775,0.000657775,0.000657775
3,50.538,1.25093,1.62952,1.40029,0.56871,0.52097,0.55677,0.32835,1.5002,1.73729,1.66094,0.000977931,0.000977931,0.000977931
4,66.8462,1.19271,1.43407,1.37023,0.70183,0.57923,0.67098,0.39408,1.37918,1.47049,1.47526,0.0009703,0.0009703,0.0009703
5,83.1924,1.18545,1.30288,1.34955,0.73565,0.55413,0.62862,0.39082,1.27313,1.3437,1.39194,0.0009604,0.0009604,0.0009604
6,99.4416,1.13879,1.21977,1.33517,0.73733,0.60615,0.68261,0.43133,1.2849,1.20423,1.40496,0.0009505,0.0009505,0.0009505
7,115.679,1.12434,1.16175,1.3077,0.65442,0.60859,0.68284,0.44424,1.2354,1.24904,1.37225,0.0009406,0.0009406,0.0009406
8,131.863,1.06807,1.07787,1.28378,0.73406,0.63115,0.69145,0.45719,1.20707,1.14097,1.33568,0.0009307,0.0009307,0.0009307
9,148.124,1.07269,1.0367,1.26853,0.76865,0.68211,0.72855,0.48217,1.1816,1.0954,1.31443,0.0009208,0.0009208,0.0009208
10,164.368,1.03937,1.00997,1.247,0.80849,0.64885,0.75,0.49791,1.17232,0.99328,1.30319,0.0009109,0.0009109,0.0009109
11,180.598,1.02223,0.95545,1.23589,0.70144,0.65897,0.69544,0.45843,1.16664,1.20226,1.26979,0.000901,0.000901,0.000901
12,196.865,0.9998,0.93888,1.22871,0.79476,0.64754,0.73935,0.50037,1.14723,1.09713,1.28994,0.0008911,0.0008911,0.0008911
13,213.101,0.98581,0.92191,1.22286,0.76702,0.70491,0.78395,0.53048,1.09335,0.9344,1.20675,0.0008812,0.0008812,0.0008812
14,229.334,0.97183,0.88059,1.20605,0.79575,0.71996,0.79112,0.52405,1.07494,0.91489,1.22561,0.0008713,0.0008713,0.0008713
15,245.563,0.98541,0.88609,1.2107,0.82086,0.72377,0.80817,0.54607,1.10229,0.90497,1.25178,0.0008614,0.0008614,0.0008614
16,261.77,0.95785,0.8534,1.19761,0.78882,0.7249,0.78211,0.53154,1.07357,0.8677,1.20736,0.0008515,0.0008515,0.0008515
17,278.01,0.94189,0.8268,1.19272,0.79302,0.73943,0.79501,0.5336,1.0928,0.85771,1.21651,0.0008416,0.0008416,0.0008416
18,294.219,0.94886,0.82248,1.19048,0.82081,0.73941,0.81062,0.56005,1.05239,0.85861,1.19658,0.0008317,0.0008317,0.0008317
19,310.525,0.93811,0.79778,1.17984,0.81298,0.72647,0.80895,0.54809,1.10249,0.85276,1.20706,0.0008218,0.0008218,0.0008218
20,326.715,0.92782,0.79473,1.17064,0.83664,0.72201,0.80644,0.55962,1.03969,0.81786,1.16178,0.0008119,0.0008119,0.0008119
21,342.939,0.92491,0.76727,1.16897,0.87162,0.74387,0.82242,0.57425,1.06175,0.81147,1.20303,0.000802,0.000802,0.000802
22,359.138,0.90621,0.76685,1.16157,0.85533,0.72666,0.81949,0.56547,1.03601,0.79159,1.17124,0.0007921,0.0007921,0.0007921
23,375.404,0.92988,0.77432,1.17037,0.81393,0.73657,0.81243,0.56255,1.0394,0.8704,1.1754,0.0007822,0.0007822,0.0007822
