epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.32988,1.29225,2.29346,1.75848,0.90502,0.56052,0.70962,0.36368,1.62295,2.6547,1.88717,0.000655172,0.000655172,0.000655172
2,16.3848,1.29206,1.68062,1.74832,0.5642,0.66176,0.59918,0.20343,1.89459,2.41286,2.23501,0.00130875,0.00130875,0.00130875
3,24.4866,1.31239,1.50767,1.73843,0.2221,0.44118,0.23967,0.0958,2.25411,2.63935,2.68084,0.00194913,0.00194913,0.00194913
4,32.5609,1.32324,1.40231,1.76302,0.5576,0.30882,0.31238,0.07737,2.65544,2.78347,3.09265,0.0019406,0.0019406,0.0019406
5,40.6187,1.31637,1.28442,1.72858,0.74129,0.45588,0.55507,0.22097,2.29995,2.04928,2.83289,0.0019208,0.0019208,0.0019208
6,48.6849,1.25316,1.1691,1.69315,0.73189,0.51471,0.58728,0.30476,1.9704,1.73407,2.30712,0.001901,0.001901,0.001901
7,56.673,1.24703,1.08753,1.67549,0.79768,0.63786,0.7595,0.33764,1.92496,1.85318,2.12113,0.0018812,0.0018812,0.0018812
8,64.6844,1.18359,1.00688,1.61801,0.70889,0.50137,0.62019,0.27389,2.06248,1.74675,2.30342,0.0018614,0.0018614,0.0018614
9,72.7165,1.18566,0.96704,1.62616,0.77206,0.69118,0.73788,0.36637,1.85582,1.45585,2.07492,0.0018416,0.0018416,0.0018416
10,80.7279,1.13756,0.9445,1.59249,0.84333,0.75,0.83003,0.42112,1.79736,1.27937,1.89522,0.0018218,0.0018218,0.0018218
11,88.6275,1.14251,0.91662,1.57419,0.89552,0.63025,0.79196,0.40537,1.84393,1.22127,2.0821,0.001802,0.001802,0.001802
12,96.6068,1.09413,0.86745,1.5295,0.84445,0.67647,0.7554,0.3853,1.81863,1.21876,2.07112,0.0017822,0.0017822,0.0017822
13,104.623,1.09241,0.86285,1.53527,0.73583,0.76471,0.81269,0.46135,1.56321,1.14095,1.74113,0.0017624,0.0017624,0.0017624
14,112.723,1.05484,0.82471,1.51361,0.78565,0.80853,0.83813,0.46549,1.544,1.01102,1.77672,0.0017426,0.0017426,0.0017426
15,120.689,1.0383,0.8003,1.48749,0.78012,0.79412,0.79551,0.45782,1.56722,1.14379,1.76598,0.0017228,0.0017228,0.0017228
16,128.714,1.024,0.78347,1.48725,0.8508,0.61765,0.74018,0.44255,1.59744,1.36094,1.85656,0.001703,0.001703,0.001703
17,136.723,1.04159,0.79645,1.50471,0.78691,0.76471,0.84806,0.47504,1.61971,1.11594,1.81756,0.0016832,0.0016832,0.0016832
18,144.66,1.04195,0.77208,1.48994,0.80253,0.83674,0.85965,0.47746,1.62052,1.01392,1.83386,0.0016634,0.0016634,0.0016634
19,152.648,0.9789,0.73468,1.43923,0.91414,0.62639,0.7926,0.42715,1.77777,1.21187,1.89211,0.0016436,0.0016436,0.0016436
20,160.653,0.9968,0.7352,1.467,0.80999,0.66176,0.75382,0.4216,1.77504,1.25328,1.95129,0.0016238,0.0016238,0.0016238
21,168.777,0.99728,0.74412,1.46041,0.91678,0.73529,0.84091,0.49246,1.62886,0.98988,1.85619,0.001604,0.001604,0.001604
22,176.883,0.96293,0.70324,1.4222,0.91446,0.70588,0.82988,0.50971,1.51069,0.98424,1.6302,0.0015842,0.0015842,0.0015842
23,184.841,0.95867,0.69783,1.42577,0.90523,0.70239,0.81727,0.46865,1.74596,1.0377,1.92911,0.0015644,0.0015644,0.0015644
24,192.759,0.964,0.70422,1.41988,0.80497,0.83824,0.87433,0.43733,1.85753,0.89603,2.00737,0.0015446,0.0015446,0.0015446
25,200.659,0.90974,0.69763,1.39795,0.92735,0.75093,0.87345,0.49314,1.58086,0.98297,1.7569,0.0015248,0.0015248,0.0015248
26,208.574,0.93498,0.68618,1.40311,0.89989,0.79314,0.89202,0.514,1.4768,1.06536,1.66598,0.001505,0.001505,0.001505
27,216.479,0.92385,0.6525,1.40192,0.91068,0.80882,0.89388,0.50805,1.57624,0.95291,1.73081,0.0014852,0.0014852,0.0014852
28,224.387,0.90117,0.65991,1.37655,0.87417,0.73529,0.83405,0.55588,1.2764,1.07466,1.52456,0.0014654,0.0014654,0.0014654
29,232.291,0.90598,0.65399,1.37268,0.90442,0.83499,0.90083,0.48034,1.75662,0.90274,1.84325,0.0014456,0.0014456,0.0014456
30,240.2,0.88584,0.61319,1.37535,0.97727,0.77941,0.90558,0.45207,1.92308,0.89161,2.03828,0.0014258,0.0014258,0.0014258
31,248.091,0.9135,0.62032,1.38825,0.93664,0.73529,0.88245,0.49902,1.61899,0.88608,1.72326,0.001406,0.001406,0.001406
32,256.018,0.88536,0.62282,1.3603,0.93632,0.77941,0.89519,0.4708,1.68965,0.90953,1.8245,0.0013862,0.0013862,0.0013862
33,263.921,0.85507,0.61596,1.33098,0.88711,0.82353,0.88139,0.59001,1.38019,0.83065,1.53021,0.0013664,0.0013664,0.0013664
34,271.84,0.85159,0.59986,1.32493,0.81503,0.85294,0.8789,0.5058,1.55835,0.91365,1.68278,0.0013466,0.0013466,0.0013466
35,279.738,0.8637,0.61051,1.3449,0.93699,0.76471,0.90341,0.56987,1.30764,0.91497,1.5086,0.0013268,0.0013268,0.0013268
36,287.645,0.85281,0.57739,1.33113,0.92042,0.85044,0.88641,0.60397,1.2007,0.74096,1.48271,0.001307,0.001307,0.001307
